Author ,Name,Text
М. В. Ломоносов,«Ода блаженныя памяти Государыне Императрице Анне Иоанновне на победу над Турками и Татарами и на взятие Хотина»,"Восторг внезапный ум пленил,
Ведет на верьх горы высокой*,
Где ветр в лесах шуметь забыл;
В долине тишина глубокой.
Внимая нечто, ключ молчит*,
Которой завсегда журчит
И с шумом вниз с холмов стремится.
Лавровы вьются там венцы,
Там слух спешит во все концы;
Далече дым в полях курится.

Не Пинд ли под ногами зрю?
Я слышу чистых сестр* муз_ы_ку!
Пермесским жаром я горю,
Теку поспешно к оных лику.
Врачебной дали мне воды:
Испей и все забудь труды;
Умой росой Кастальской очи,
Чрез степь и горы взор простри
И дух свой к тем странам впери,
Где всходит день по темной ночи.

Корабль как ярых волн среди,
Которые хотят покрыти,
Бежит, срывая с них верьхи,
Претит с пути себя склонити;
Седая пена вкруг шумит,
В пучине след его горит,
К российской силе так стремятся*,
Кругом объехав, тьмы татар;
Скрывает небо конской пар!
Что ж в том? стремглав без душ валятся.

Крепит отечества любовь
Сынов российских дух и руку;
Желает всяк пролить всю кровь,
От грозного бодрится звуку.
Как сильный лев стада волков,
Что кажут острых яд зубов,
Очей горящих гонит страхом,
От реву лес и брег дрожит,
И хвост песок и пыль мутит,
Разит извившись сильным махом.

Не медь ли в чреве Этны ржет
И, с серою кипя, клокочет?
Не ад ли тяжки узы рвет
И челюсти разинуть хочет?
То род отверженной рабы*,
В горах огнем наполнив рвы,
Металл и пламень в дол бросает,
Где в труд избранный наш народ
Среди врагов, среди болот
Чрез быстрый ток на огнь дерзает.

За холмы, где паляща хлябь
Дым, пепел, пламень, смерть рыгает,
За Тигр, Стамбул, своих заграбь*,
Что камни с берегов сдирает;
Но чтоб орлов сдержать полет,
Таких препон на свете нет.
Им воды, лес, бугры, стремнины,
Глухие степи — равен путь.
Где только ветры могут дуть,
Доступят там полки орлины.

Пускай земля как понт трясет,
Пускай везде громады стонут,
Премрачный дым покроет свет,
В крови Молдавски горы тонут;
Но вам не может то вредить,
О россы, вас сам рок покрыть
Желает для счастливой Анны.
Уже ваш к ней усердный жар
Быстр_о_ проходит сквозь татар,
И путь отворен вам пространный.

Скрывает луч свой в волны день,
Оставив бой ночным пожарам;
Мурза упал на долгу тень;
Взят купно свет и дух татарам.
Из лыв густых выходит волк
На бледный труп в турецкий полк.
Иной, в последни видя з_о_рю.
Закрой, кричит, багряной вид
И купно с ним Магметов стыд*;
Спустись поспешно с солнцем к морю.

Что так теснит боязнь мой дух?
Хладнеют жилы, сердце ноет!
Что бьет за странной шум в мой слух?
Пустыня, лес и воздух воет!
В пещеру скрыл свирепство зверь,
Небесная отверзлась дверь,
Над войском облак вдруг развился,
Блеснул горящим вдруг лицем,
Умытым кровию мечем
Гоня врагов, Герой открылся*.

Не сей ли при Донских струях*
Рассыпая вредны россам стены?
И персы в жаждущих степях*
Не сим ли пали поражении?
Он так к своим взирал врагам,
Как к готским приплывал брегам,
Так сильну возносил десницу;
Так быстрой конь его скакал,
Когда он те поля топтал,
Где зрим всходящу к нам денницу.

Кругом его из облаков
Гремящие перуны блещут,
И, чувствуя приход Петров,
Дубравы и поля трепещут.
Кто с ним толь грозно зрит на юг,
Одеян страшным громом вкруг?
Никак, Смиритель стран Казанских?*
Каспийски воды, сей при вас
Селима гордого потряс,
Наполнил степь голов поганских.
Герою молвил тут Герой:
«Не тщетно я с тобой трудился,
Не тщетен подвиг мой и твой,
Чтоб россов целый свет страшился.
Чрез нас предел наш стал широк
На север, запад и восток.
На юге Анна торжествует,
Покрыв своих победой сей».
Свилася мгла, Герои в ней;
Не зрит их око, слух не чует.

Крутит река татарску кровь,
Что протекала между ними;
Не смея в бой пуститься вновь,
Местами враг бежит пустыми,
Забыв и меч, и стан, и стыд,
И представляет страшный вид
В крови другое своих лежащих.
Уже, тряхнувшись, легкий лист
Страшит его, как ярый свист
Быстр_о_ сквозь воздух ядр летящих.

Шумит с ручьями бор и дол:
Победа, росская победа!
Но враг, что от меча ушел,
Боится собственного следа.
Тогда увидев бег своих,
Луна стыдилась сраму их*
И в мрак лице, зардевшись, скрыла.
Летает слава в тьме ночной,
Звучит во всех землях труб
ой,
Коль росская ужасна сила.

Вливаясь в понт, Дунай ревет
И россов плеску отвещает;
Ярясь волнами турка льет,
Что стыд свой за него скрывает.
Он рыщет, как пронзенный зверь,
И чает, что уже теперь
В последней раз заносит ногу,
И что земля его носить
Не хочет, что не мог покрыть.
Смущает мрак и страх дорогу.

Где ныне похвальба твоя?
Где дерзость? где в бою упорство?
Где злость на северны края?
Стамбул, где наших войск презорство?
Ты лишь своим велел ступить,
Нас тотчас чаял победить;
Ян_ы_чар твой свирепо злился,
Как тигр на росский полк скакал.
Но что? внезапно мертв упал,
В крови своей пронзен залился.

Целуйте ногу ту в слезах,
Что вас, агаряне, попрала,
Целуйте руку, что вам страх
Мечем кровавым показала.
Великой Анны грозной взор
Отраду дать просящим скор;
По страшной туче воссияет,
К себе повинность вашу зря.
К своим любовию горя,
Вам казнь и милость обещает.

Златой уже денницы перст
Завесу света вскрыл с звездами;
От встока скачет по сту верст,
Пуская искры конь ноздрями.
Лицем сияет Феб на том.
Он пламенным потряс верхом;
Преславно дело зря, дивится:
«Я мало таковых видал
Побед, коль долго я блистал,
Коль долго круг веков катится».

Как в клуб змия себя крутит,
Шипит, под камень жало кроет,
Орел когда шумя летит
И там парит, где ветр не воет;
Превыше молний, бурь, снегов
Зверей он видит, рыб, гад_о_в»
Пред росской так дрожит Орлицей,
Стесняет внутрь Хотин своих.
Но что? в стенах ли, может сих
Пред сильной устоять царицей?

Кто скоро толь тебя, Калчак,
Учит российской вдаться власти,
Ключи вручить в подданства знак
И большей избежать напасти?
Правдивой Аннин гнев велит,
Что падших перед ней щадит.
Ее взошли и там оливы*,
Где Вислы ток, где славный Рен*,
Мечем противник где смирен,
Извергли дух сердца кичливы.
О как красуются места,
Что иго лютое сброс_и_ли
И что на турках тягота,
Которую от них носили;
И варварские руки те,
Что их держали в тесноте,
В полов уже несут оковы;
Что ноги узами звучат,
Которы для отгнанья стад
Чужи поля топтать готовы.

Не вся твоя тут, Порта» казнь,
Не так теба смирять достойно,
Но большу нанести боязнь,
Что жить нам не дала спокойно.
Еще высоких мыслей страсть
Претит тебе вред Анной пасть?
Где можешь ты от ней укрыться?
Дамаск, Каир, Алепп сгорит;
Обставят росским флотом Крит;
Евфрат в твоей крови смутится.

Чинит премену что во всем?
Что очи блеском проницает?
Чистейшим с неба что лучем
И дневну ясность превышает?
Героев слышу весел клик!
Одеян в славу Аниин лик
Над звездны вечность взносит круги;
И правда, взяв перо злато,
В нетленной книге пишет то.
Велики коль ее заслуги.

Витийство, Пиндар, уст твоих
Тяжчае б Фивы обвинили.
Затем что о победах сих
Они б громчае возгласили.
Как прежде о красе Афин;
Россия как прекрасный крин
Цветет под Анниной державой.
В Китайских чтут ее стенах*,
И свет во всех своих концах
Исполнен храбрых россов славой.

Россия, коль счастлива ты
Под сильным Анниным покровом!
Какие видишь красоты
При сем торжествованьи новом!
Военных не страшися бед:
Бежит оттуду бранный вред,
Народ где Анну прославляет.
Пусть злобна зависть яд свой льет.
Пусть свой язык, ярясь, грызет;
То наша радость презирает.

Козацких поль заднестрской тать*
Разбит, прогн_а_н, как прах развеян,
Не смеет больше уж топтать,
С пшеницей где покой насеян.
Безбедно едет в путь купец,
И видит край волнам пловец,
Нигде не знал, плывя, препятства.
Красуется велик и мал;
Жить хочет век, кто в гроб желал;
Влекут к тому торжеств изрядства.

Пастух стада гоняет в луг
И лесом без боязни ходит;
Пришед, овец пасет где друг,
С ним песню новую заводит.
Солдатску храбрость хвалит в ней,
И жизни часть блажит своей,
И вечно тишины желает
Местам, где толь спокойно спит;
И ту, что от врагов хранит,
Простым усердьем прославляет.

Любовь России, страх врагов,
Страны полночной Героиня,
Седми пространных морь брегов*
Надежда, радость и богиня,
Велика Анна, ты доброт
Сияешь светом и щедрот, —
Прости, что раб твой к громкой славе,
Звучит что крепость сил твоих,
Придать дерзнул некрасной стих
В подданства знак твоей державе."
М. В. Ломоносов,«Ода на прибытие Ея Величества великия Государыни Императрицы Елисаветы Петровны из Москвы в Санктпетербург»,"Какой приятный Зефир веет
 И нову силу в чувства льет?Какая красота яснеет?
 Что всех умы к себе влечет?
 Мы славу Дщери зрим Петровой,
 Зарей торжеств светящу новой.
 Чем ближе та сияет к нам,
 Мрачнее ночь грозит врагам.
 Брега Невы руками плещут,
 Брега Ботнийских вод трепещут.

 2

 Взлети превыше молний, Муза,
 Как Пиндар, быстрый твой орел,
 Гремящих Арф ищи союза
 И вверьх пари скоряе стрел,
 Сладчайший Нектар лей с Назоном;
 Превысь Парнас высоким тоном,
 С Гомером как река шуми
 И, как Орфей, с собой веди
 В торжествен лик древа, и воды,
 И всех зверей пустынных роды;

 3

 Дерзай ступить на сильны плечи
 Атлантских к небу смежных гор,
 Внушай свои вселенной речи,
 Блюдись спустить свой в долы взор,
 Над тучи оным простирайся
 И выше облак возвышайся,
 Спеши звучащей славе вслед.
 Но ею весь пространный свет
 Наполненный, страшась, чудится:
 Как в стих возможно ей вместиться?

 4

 Однако ты и тем счастлива,
 Что тщишься имя воспевать
 Всея земли красы и дива
 И тем красу себе снискать.
 Ты твердь оставь, о древня Лира,
 Взнесенна басньми к верьху мира:
 Моя число умножит звезд,
 Возвысившись до горних мест
 Парящей славой вознесенна
 И новым блеском освещенна.

 5

 Священный ужас мысль объемлет!
 Отверз Олимп всесильный дверь.
 Вся тварь со многим страхом внемлет,
 Великих зря Монархов Дщерь,
 От верных всех сердец избранну,
 Рукою Вышнего венчанну,
 Стоящу пред Его лицем,
 Котору в свете Он Своем
 Прославив, щедро к Ней взирает,
 Завет крепит и утешает.

 6

 ""Благословенна вечно буди, -
 Вещает Ветхий деньми к Ней, -
 И все твои с тобою люди,
 Что вверил власти Я Твоей.
 Твои любезные доброты
 Влекут к себе Мои щедроты.
 Я в гневе Россам был Творец,
 Но ныне паки им Отец:
 Души Твоей кротчайшей сила
 Мой гнев на кротость преложила.

 7

 Утешил Я в печали Ноя,
 Когда потопом мир казнил,
 Дугу поставил в знак покоя,
 И тою с ним завет чинил.
 Хотел Россию бед водою
 И гневною казнить грозою,
 Однако для заслуг Твоих
 Прибавил милость в людях сих,
 Тебя поставил в знак завета
 Над знатнейшею частью света.

 8

 Мой образ чтят в Тебе народы
 И от Меня влиянный дух;
 В бесчисленны промчется роды
 Доброт Твоих неложный слух.
 Тобой поставлю суд правдивый,
 Тобой сотру сердца кичливы,
 Тобой Я буду злость казнить,
 Тобой заслугам мзду дарить;
 Господствуй, утвержденна Мною;
 Я буду завсегда с Тобою"".

 9

 Но что страны вечерни тмятся
 И дождь кровавых каплей льют?
 Что Финских рек струи дымятся,
 И долы с влагой пламень пьют?
 Там, видя выше горизонта
 Всходяща Готфска Фаетонта
 Против течения небес
 И вкруг себя горящий лес,
 Тюмень в брегах своих мутится
 И воды скрыть под землю тщится.

 10

 Претящим оком Вседержитель
 Воззрев на полк вечерний рек:
 ""О дерзкий мира нарушитель,
 Ты меч против Меня извлек:
 Я правлю солнце, землю, море,
 Кто может стать со мною в споре?
 Моя десница мещет гром,
 Я в пропасть сверг за грех Содом,
 Я небо мраком покрываю;
 Я Сам Россию защищаю"".

 11

 Но Вышний зрак свой отвращает
 От Готфских ослепленных стран
 И тем продерзость их смущает,
 Трясет полки их, флот и стан;
 Как сильный вихрь, с полей прах гонит
 И древ верьхи высоки клонит;
 Богине Росской гром вручил,
 Чем злость разить противных сил;
 ""Прими разжженны к мести стрелы,
 Рассыпь врагов своих пределы"".

 12

 Стокголм, глубоким сном покрытый,
 Проснись, познай Петрову кровь,
 Не жди льстецов своих защиты,
 Отринь коварну их любовь;
 Ты всуе Солнце почитаешь
 И пред Луной себя склоняешь;
 Целуй Елисаветин меч,
 Что ты принудил сам извлечь:
 Его мягчит одна покорность,
 Острит кичливая упорность.

 13

 Примеры храбрости Российской
 Представь теперь в уме своем;
 Воззри на Дон и край Понтийский,
 Смиренный мстительным огнем.
 Там степи, кровью напоенны,
 Родили лавры нам зелены.
 Багрова там земля тряслась,
 И к небу с дымом пыль вилась;
 Россиян твердо грудь стояла,
 И слава их во мгле блистала.

 14

 Свою Полтавску вспомни рану,
 Что, знать, еще в груди твоей,
 И гордость при Днепре попранну,
 И многий плен твоих, людей,
 За Обские брега вселенный,
 Хребтом Рифейским заключенный,
 За коим сильна Росска власть
 Велику держит встока часть,
 Где орды ей сбирают дани,
 По ней всегда готовы к брани.

 15

 Как нельзя лить рекам к верьшине
 Против крутизны вод своих
 И силы взять огню в пучине,
 Так к нам ввести людей твоих.
 Орлы на тое не взирают,
 Что львовы челюсти зияют.
 Вотще твой хитрый был совет:
 Россию сам Господь блюдет;
 Рукою Он Елисаветы
 Противных разрушит наветы.

 16

 Уже и морем и землею
 Российско воинство течет
 И сильной крепостью своею
 За лес и реки Готов жмет.
 Огня ревущего удары
 И свист от ядр летящих ярый
 Сгущенный дымом воздух рвут
 И тяжких гор сердца трясут;
 Уже мрачится свет полдневный,
 Повсюду вид и слух плачевный.

 17

 Там кони бурными ногами
 Взвивают к небу прах густой,
 Там смерть меж Готфскими полками
 Бежит ярясь из строя в строй,
 И алчну челюсть отверзает,
 И хладны руки простирает,
 Их гордый исторгая дух;
 Там тысящи валятся вдруг.
 Но если хочешь видеть ясно,
 Коль Росско воинство ужасно,

 18

 Взойди на брег крутой высоко,
 Где кончится землею понт;
 Простри свое чрез воды око,
 Коль много обнял Горизонт;
 Внимай, как Юг пучину давит,
 С песком мутит, зыбь на зыбь ставит,
 Касается морскому дну,
 На сушу гонит глубину
 И с морем дождь и град мешает:
 Так Росс противных низлагает.

 19

 Как ежели на Римлян злился
 Плутон, являя гнев и власть,
 И если Град тому чудился,
 Что Курций, видя мрачну пасть,
 Презрел и младость, и породу,
 Погиб за Римскую свободу,
 С разъезду в оную скочив, -
 То ей! Квириты, Марк ваш жив
 Во всяком Россе, что без страху
 Чрез огнь и рвы течет с размаху.

 20

 Всяк мнит, что равен он Алкиду
 И что, Немейским львом покрыт,
 Или ужасную Эгиду
 Нося, врагов своих страшит:
 Пронзает, рвет и рассекает,
 Противных силу презирает.
 Смесившись с прахом, кровь кипит;
 Здесь шлем с главой, там труп лежит,
 Там меч с рукой отбит валится.
 Коль злоба жестоко казнится!

 21

 Народы, ныне научитесь,
 Смотря на страшну гордых казнь,
 Союзы разрушать блюдитесь,
 Храните искрению приязнь;
 На множество не уповайте
 И тем небес не раздражайте:
 Мечи, щиты и крепость стен -
 Пред Божьим гневом гниль и тлен:
 Пред ним и горы исчезают,
 Пред ним пучины иссыхают.

 22

 Бежит в свой путь с весельем многим
 По холмам грозный Исполин,
 Ступает по вершинам строгим,
 Презрев глубоко дно долин,
 Вьет воздух вихрем за собою;
 Под сильною его пятою
 Кремнистые бугры трещат,
 И следом дерева лежат,
 Что множество веков стояли
 И бурей ярость презирали.

 23

 Так флот Российский в понт дерзает,
 Так роет он поверьх валов,
 Надменна бездна уступает,
 Стеня от тягости судов.
 Вослед за скорыми кормами
 Спешит седая пена рвами.
 Весельный шум, гребущих крик
 Наносят Готам страх велик;
 Уже надежду отвергают
 И в мгле свой флот и стыд скрывают.

 24

 Не Швед ли мнил, что он главою,
 Как Атлас, держит целый свет
 И море сильною рукою
 И полной властью в узах жмет;
 Что твердь с собой в союзе свяжет
 И вспять идти Луне укажет,
 Однако род Российский знал
 И мысленно тогда взирал,
 Когда он стал на нас грозиться,
 Как он бежит, как нас страшится!

 25

 На нивах жатву оставляет
 От мести устрашенный Фин,
 И с гор, оцепенев, взирает
 На дым, всходящий из долин,
 На меч, на Готов обнаженный,
 На пламень, в селах воспаленный;
 Там ночью от пожаров день,
 Там днем в пыли ночная тень;
 Багровый облак в небе рдеет,
 Земля под ним в крови краснеет.

 26

 Но, холмы и древа, скачите,
 Ликуйте, множества озер,
 Руками, реки, восплещите,
 Петрополь буди вам пример:
 Елисавета к вам приходит,
 Отраду с тишиной приводит;
 Любя вселенныя покой,
 Уже простертой вам рукой
 Дарует мирные оливы,
 Щадить велит луга и нивы.

 27

 Хоть с вами б, Готы, к нам достигли
 Поящи запад быстрины,
 Хотя бы вы на нас воздвигли
 Союзны ваши все страны,
 Но тщетны были б все походы:
 Незнаемые вам народы,
 Что дале севера живут,
 Того по вся минуты ждут,
 Что им велит Елисавета,
 Готовы стать противу света.

 28

 О слава жен во свете славных,
 России радость, страх врагов,
 Краса Владетельниц державных!
 Всяк кровь свою пролить готов
 За многие твои доброты
 И к подданным твоим щедроты.
 Твой слух пленил и тех людей,
 Что странствуют среди зверей;
 Что с лютыми пасутся львами,
 За честь Твою восстанут с нами.

 29

 Твое прехвально имя пишет
 Неложна слава в вечном льде,
 Всегда где хладный север дышит
 И только верой тепл к Тебе;
 И степи в зное отдаленны,
 К Тебе любовию возжженны,
 Еще усерднее горят.
 К Тебе от веточных стран спешат
 Уже Американски волны
 В Камчатский порт, веселья полны.

 30

 В шумящих берегах Балтийских
 Веселья больше, нежель вод,
 Что видели судов Российских
 Против врагов счастливый ход.
 Коль радостен жених в убранстве,
 Толь Финский понт в Твоем подданстве.
 В проливах, в устьях рек, в губах
 Играя, Нимфы вьют в руках,
 Монархиня, венцы Лавровы
 И воспевают песни новы.

 31

 О чистый Невский ток и ясный,
 Счастливейший всех вод земных!
 Что сей Богини лик прекрасный
 Кропишь теперь от струй своих,
 Стремись, шуми, теки обильно,
 И быстриной твоей насильно
 Промчись до Шведских берегов
 И больше устраши врагов,
 Им громким шумом возвещая,
 Что здесь зимой весна златая.

 32

 Как лютый мраз она прогнавши
 Замерзлым жизнь дает водам,
 Туманы, бури, снег поправши,
 Являет ясны дни странам,
 Вселенну паки воскрешает,
 Натуру нам возобновляет,
 Поля цветами красит вновь:
 Так ныне милость и любовь,
 И светлый Дщери взор Петровой
 Нас жизнью оживляет новой.

 33

 Какая бодрая дремота
 Открыла мысли явный сон?
 Еще горит во мне охота
 Торжественный возвысить тон.
 Мне вдруг ужасный гром блистает,
 И купно ясный день сияет!
 То сердце сильна власть страшит,
 То кротость оное живит,
 То бодрость страх, то страх ту клонит:
 Противна страсть противну гонит!

 34

 На запад смотрит грозным оком
 Сквозь дверь небесну Дух Петров,
 Во гневе сильном и жестоком
 Преступных он мятет врагов.
 Богиня кротко с ним взирает
 На Невский брег и простирает
 Свой перст на Дщерь свою с высот:
 ""Воззри на образ твой и плод,
 Что все дела твои восставит
 И в свете тем себя прославит"".

 35

 ""Исполнен я веселья ныне,
 Что вновь дела мои растут, -
 Вещает Петр к Екатерине, -
 Твои советы все цветут.
 Блаженны Дщерью мы своею;
 Рука Господня буди с Нею;
 Блажен тот год, тот день и час,
 Когда Господь ущедрил нас,
 Подав Ее нам на утеху
 И всех трудов моих к успеху"".

 36

 Но речь их шумный вопль скрывает:
 Война при Шведских берегах
 С ужасным стоном возрыдает,
 В угрюмых кроется лесах.
 Союз приходит вожделенный
 И глас возносит к ней смиренный:
 ""Престань прекрасный век мрачить
 И Фински горы кровавить:
 Се царствует Елисавета,
 Да мир подаст пределам света.

 37

 Хотя твои махины грозны,
 Но сплавлю их в зваянный вид,
 Чтоб знали впредь потомки поздны,
 Что ныне свет в России зрит.
 Я вящи учиню премены,
 Когда градов пространны стены
 Без пагубы людской сотру,
 В огромные столпы сберу;
 Превыше будут те Мемфийских
 Монархов славою Российских.

 38

 Мечи твои и копья вредны
 Я в плуги и в серьпы скую;
 Пребудут все поля безбедны,
 Отвергнув люту власть твою.
 На месте брани и раздора
 Цветы свои рассыплет Флора.
 Разить не будет серный прах
 Сквозь воздух огнь и смерть в полках,
 Но озарив веселы ночи,
 Восхитит зрящих дух и очи"".

 39

 Еще плененна мысль мутится!
 Я слышу стихотворцев шум,
 Которых жар не погасится
 И будет чтущих двигать ум.
 Завистно на меня взирая
 И с жалостию воздыхая,
 Ко мне возносят скорбный глас:
 ""О коль ты счастливее нас!
 Наш слог исполнен басней лживых.
 Твой - сложен из похвал правдивых.

 40

 На что бы вымышлять нам ложно
 Без вещи имена одне,
 Когда бы было нам возможно
 Рожденным в Росской быть стране,
 В сие благословенно время,
 В которое Петрово семя,
 Всех жен хвала, Елисавет,
 Сладчайший Музам век дает.
 В ней зрятся истинны доброты,
 Геройство, красота, щедроты"".

 41

 Что толь приятный сон смущает,
 Восторг пресладкий гонит прочь,
 И что спокойну брань скрывает,
 И отвращает ясну ночь?
 Возносит веток и запад клики!
 Согласно разные языки
 Гласят к Монархине своей:
 ""Господь ущербом наших дней
 Умножь Твои дражайши лета
 К отраде и защите света!""

 42

 Когда бы древни веки знали
 Твою щедроту с красотой,
 Тогда бы жертвой почитали
 Прекрасный в храме образ Твой.
 Что ж будущие скажут роды?
 Покрыты кораблями воды
 И грады, где был прежде лес,
 Возвысят глас свой до небес:
 ""Великий Петр нам дал блаженство,
 Елисавета - совершенство"".

 43

 Целуй, Петрополь, ту десницу,
 Которой долго ты желал:
 Ты паки зришь Императрицу,
 Что в сердце завсегда держал.
 Не так поля росы желают
 И в зной цветы от жажды тают,
 Не так способных ветров ждет
 Корабль, что в тихий порт плывет,
 Как сердце наше к Ней пылало,
 Чтоб к нам лице Ея сияло.

 44

 Красуйся, дух мой восхищенный,
 И не завидуй тем творцам,
 Что носят лавр похвал зеленый;
 Доволен будь собою сам.
 Твою усерднейшую ревность
 Ни гнев стихий, ни мрачна древность
 В забвении не могут скрыть,
 Котору будут век хранить
 Дела Петровой Дщери громки,
 Что станут поздны Честь потомки."
М. В. Ломоносов,Ода на день брачного сочетания Их Императорских Высочеств Государя Великого Князя Петра Феодоровича и Государыни Великий Княгини Екатерины Алексеевны,"Не сад ли вижу я священный,
В Едеме Вышним насажденный,
Где первый узаконен брак?
В чертог Богиня в славе входит,
Любезнейших супругов вводит,
Пленяющих сердца и зрак.
В одном Геройский дух и сила
Цветут во днях уже младых,
В другой натура истощила
Богатство всех красот своих.

2

Исполнил Бог свои советы
С желанием Елисаветы:
Красуйся светло, Росский род.
Се паки Петр с Екатериной
Веселья общего причиной:
Ликуйте, сонмы многих вод.
Рифейских гор верьхи неплодны,
Одейтесь в нежный цвет лилей;
Пустыни и поля безводны,
Излейте чистый ток ключей.

3

На встоке, западе и юге,
Во всем пространном света круге
Ужасны Росские полки,
Мечи и шлемы отложите
И в храбры руки днесь возьмите
Зелены ветви и цветки.
Союзны царства, утверждайте
В пределах ваших тишину,
Вы, бурны вихри, не дерзайте
Подвигнуть ныне глубину.

4

Девиц и юнош красных лики,
Взносите радостные клики
По мягким тихих рек брегам:
Пусть глас веселый раздается,
Пусть сей приятный глас промнется
По холмам, рощам и лугам:
«К утехе Росского народа
Петра с Екатериной вновь
Счетает счастье и порода,
Пригожство, младость и любовь».

5

Как сладкий сон вливает в члены,
Чрез день трудами изнуренны,
Отраду, легкость и покой,
Так мысль в веселье утопает.
О коль прекрасен свет блистает,
Являя вид страны иной!
Там мир в полях и над водами,
Там вихрей нет, ни шумных бурь,
Между млечными облаками
Сияет злато и лазурь.

6

Кристальны горы окружают,
Струи прохладны обтекают
Усыпанный цветами луг.
Плоды, румянцем испещренны,
И ветви, медом орошенны,
Весну являют с летом вдруг.
Восторг все чувства восхищает!
Какая сладость льется в кровь?
В приятном жаре сердце тает!
Не тут ли царствует любовь?

7

И горлиц нежное вздыханье,
И чистых голубиц лобзанье
Любви являют тамо власть.
Древа листами помавают,
Друг друга ветьвми обнимают,
В бездушных зрю любовну страсть!
Ручьи вослед ручьям крутятся,
То гонят, то себя манят,
То прямо друг к другу стремятся,
И, слившись меж собой, журчат.

8

Нарцисс над ясною водою,
Пленен своею красотою,
Стоит любуясь сам собой.
Зефир, как ты по брегу дуешь,
Сто крат листки его целуешь
И сладкой те кропишь росой.
Зефир, сих нежных мест хранитель,
Куда свой правишь с них полет?
Зефир, кустов и рощ любитель,
Что прочь от них тебя влечет?

9

Он легкими шумит крилами,
Взвивается под небесами
И льет на воздух аромат;
Царицу мест, любовь, сретает,
Порфиру и власы взвевает:
Она спешит в свой светлый град.
Индийских рек брега веселы,
Хоть вечна вас весна пестрит,
Не чудны ваши мне пределы,
Мой дух красу любови зрит.

10

Как утрення заря сияет,
Когда день ясный обещает,
Румянит синий горизонт;
Лице любови толь прекрасно.
В ночи горят коль звезды ясно
И проницают тихий Понт,
Подобно сей Царицы взгляды
Сквозь души и сердца идут,
С надеждой смешанны отрады
В объяты страстью мысли льют.

11

Белейшей мрамора рукою
Любовь несет перед собою
Младых Супругов светлый лик;
Сама, смотря на них, дивится,
И полк всех нежностей теснится
И к оным тщательно приник.
Кругом ее умильны смехи
Взирающих пленяют грудь,
Приятности и все утехи
Цветами устилают путь.

12

Усердна верность принимает
Носимый лик и поставляет
На крепких мраморных столпах,
Сребром чистейшим обведенных
И так от века утвержденных,
Как в тяжких Таврских нутр горах,
Бурливых вихрей не боится
И презирает молний блеск,
От мрачных туч бежать не тщится,
В ничто вменяет громов треск.

13

Не сам ли в арфу ударяет
Орфей, и камни оживляет,
И следом водит хор древес?
Любовь, и с нею восклицают
Леса и громко возвышают
Младых Супругов до небес.
В пригорках бьют ключи прозрачны,
Сверькая в солнечных лучах,
И сыплют чрез долины злачны,
Чем блещет Орм в своих краях.

14

Кастальски Нимфы ликовствуют,
С любовью купно торжествуют
И движут плесками Парнас;
Надежда оных ободряет,
Надежда тверда возбуждает
Возвысить громко брачный глас.
Надежда обещает явно;
Оне себе с весельем ждут
Иметь в России имя славн
о,
Щедротой ободренный труд.

15

О ветвь от корене Петрова!
Для всех полночных стран покрова
Благополучно возрастай.
О щедрая Екатерина,
Ты процветай краснее крина
И сладки нам плоды подай.
От вас Россия ожидает
Счастливых и спокойных лет,
На вас по всякий час взирает,
Как на всходящий дневный свет.

16

Теперь во всех градах Российских,
По селам и в степях Азийских
Единогласно говорят:
«Как бог продлит чрез вечно время
Дражайшее Петрово племя,
Счастлива жизнь и наших чад;
Не будет страшныя премены,
И от Российских храбрых рук
Рассыплются противных стены
И сильных изнеможет лук.

17

Петр силою своей десницы
Российски распрострет границы
И в них спокойство утвердит.
Дражайшия Его Супруги
Везде прославятся заслуги,
И свет щедрота удивит.
Он добродетель чрез награду
В народе будет умножать;
Она предстательством отраду
Потщится бедным подавать».

18

От Иберов до вод Курильских,
От вечных льдов до токов Нильских
По всем народам и странам
Ваш слух приятный протекает,
Языки многи услаждает,
Как благовонный фимиам.
Коль сладко путник почивает
В густой траве, где ключ течет,
Свое так сердце утешает,
Смотря на вас, Елисавет.

19

С горящей, солнце, колесницы,
Низвед пресветлые зеницы,
Пространный видишь шар земной,
В Российской ты державе всходишь,
Над нею дневный путь преводишь
И в волны кроешь пламень свой.
Ты нашей радости свидетель,
Ты зришь усердий наших знак,
Что ныне нам послал содетель
Чрез сей благословенный брак.

20

О Боже, крепкий Вседержитель!
Подай, чтоб Россов Обновитель
В потомках вечно жил своих:
Воспомяни Его заслуги
И, преклонив небесны круги,
Благослови Супругов сих.
С высот твоих Елисавете
Поели святую благодать,
Сподоби Ту в грядущем лете
Петрова Первенца лобзать."
